,Summary_NR,Reporting_ID,Event_Date,Event_Time,Classification,event year,Event_Description,Event_Keyword,End_Use,Stories_in_Building,Height_for_Non_Building,Project_Cost,Project_Type,Associated_SICs,Fatality,Related_Inspection_NR,Original classification,Age,Sex,Nature_of_Injury,Part_of_Body,Source_of_Injury,Event_Type,Environmental_Factor,Human_Factor,Occupation_Code,Degree_of_Injury,Task_Assigned,Hazardous_Substance,Operation_Code,Cause_of_Injury,Cause_of_Fatality,Distance_of_Fall,Height_of_Person,Injury_ID,Activity_NR,State_Flag,Name,Address,City,State,Zip,Owner_Type,Owner_Code,Advance_Notice,Safety_Health,SIC,NAICS,Inspection_Type,Inspection_Scope,Why_No_Inspection,Union,Safety_Planning_Guide_Manf,Safety_Planning_Guide_Const,Safety_Planning_Guide_Maritime,Health_Planning_Guide_Manuf,Health_Planning_Guide_Constr,Health_Planning_Guide_Maritime,Migrant,Mailing_Street,Mailing_City,Mailing_State,Mailing_Zip,No__in_Establishment,Open_Date,Case_Mod_Date,Conf_Closed,Case_Closed,total_current_penalty
11,982199,257260,29-SEP-88 12.00.00.000000 AM,,Process,88,"Employee killed, another injured during pipeline explosion","FIRE,EXPLOSION,PIPELINE,SPILL,GASOLINE,TANK",,,,,,2911,X,18693408,process,54,Male,5,4,35,14,10,20,503,1,2,1340,0,0,0,,,1,18693408,,CARIBBEAN PETROLEUM CORP,CARR 28 ZONA IND LUCHETTI,BAYAMON,PR,961,Private,0,No,S,2911,0,Referral,Partial,,Yes,X,,,,,,,PO BOX 361988,SAN JUAN,PR,936,105,30-Sep-88,14-Dec-07,16-Feb-89,28-Jun-91,3000
12,14402424,626000,22-AUG-88 12.00.00.000000 AM,,Process,88,Employees hospitalized after exposure to hydrofluoric acid,"LEAK,HYDROFLUORIC ACID,WORK RULES,INHALATION,EQUIPMENT FAILURE,VALVE,GAS LEAK,PIPE,TOXIC FUMES,GAS FITTING",,,,,,2911,,100307214,process,32,Female,21,5,9,8,7,19,999,3,1,1460,0,0,0,,,4,100307214,,VALERO REFINING COMPANY - TEXAS LP,5900 UP RIVER RD,CORPUS CHRISTI,TX,78401,Private,0,No,H,2911,0,Accident,Partial,,No,,,,,,,,PO BOX 9370,CORPUS CHRISTI,TX,78469,350,23-Aug-88,16-May-11,8-Sep-88,4-Jun-91,480
13,14402424,626000,22-AUG-88 12.00.00.000000 AM,,Process,88,Employees hospitalized after exposure to hydrofluoric acid,"LEAK,HYDROFLUORIC ACID,WORK RULES,INHALATION,EQUIPMENT FAILURE,VALVE,GAS LEAK,PIPE,TOXIC FUMES,GAS FITTING",,,,,,2911,,100307214,process,42,Male,2,16,9,8,7,19,999,2,1,1460,0,0,0,,,6,100307214,,VALERO REFINING COMPANY - TEXAS LP,5900 UP RIVER RD,CORPUS CHRISTI,TX,78401,Private,0,No,H,2911,0,Accident,Partial,,No,,,,,,,,PO BOX 9370,CORPUS CHRISTI,TX,78469,350,23-Aug-88,16-May-11,8-Sep-88,4-Jun-91,480
14,14402424,626000,22-AUG-88 12.00.00.000000 AM,,Process,88,Employees hospitalized after exposure to hydrofluoric acid,"LEAK,HYDROFLUORIC ACID,WORK RULES,INHALATION,EQUIPMENT FAILURE,VALVE,GAS LEAK,PIPE,TOXIC FUMES,GAS FITTING",,,,,,2911,,100307214,process,35,Male,21,5,9,8,7,19,999,2,1,1460,0,0,0,,,1,100307214,,VALERO REFINING COMPANY - TEXAS LP,5900 UP RIVER RD,CORPUS CHRISTI,TX,78401,Private,0,No,H,2911,0,Accident,Partial,,No,,,,,,,,PO BOX 9370,CORPUS CHRISTI,TX,78469,350,23-Aug-88,16-May-11,8-Sep-88,4-Jun-91,480
15,14402424,626000,22-AUG-88 12.00.00.000000 AM,,Process,88,Employees hospitalized after exposure to hydrofluoric acid,"LEAK,HYDROFLUORIC ACID,WORK RULES,INHALATION,EQUIPMENT FAILURE,VALVE,GAS LEAK,PIPE,TOXIC FUMES,GAS FITTING",,,,,,2911,,100307214,process,32,Male,21,5,9,8,7,19,999,3,1,1460,0,0,0,,,3,100307214,,VALERO REFINING COMPANY - TEXAS LP,5900 UP RIVER RD,CORPUS CHRISTI,TX,78401,Private,0,No,H,2911,0,Accident,Partial,,No,,,,,,,,PO BOX 9370,CORPUS CHRISTI,TX,78469,350,23-Aug-88,16-May-11,8-Sep-88,4-Jun-91,480
16,14402424,626000,22-AUG-88 12.00.00.000000 AM,,Process,88,Employees hospitalized after exposure to hydrofluoric acid,"LEAK,HYDROFLUORIC ACID,WORK RULES,INHALATION,EQUIPMENT FAILURE,VALVE,GAS LEAK,PIPE,TOXIC FUMES,GAS FITTING",,,,,,2911,,100307214,process,32,Male,21,5,9,8,7,19,999,3,1,1460,0,0,0,,,2,100307214,,VALERO REFINING COMPANY - TEXAS LP,5900 UP RIVER RD,CORPUS CHRISTI,TX,78401,Private,0,No,H,2911,0,Accident,Partial,,No,,,,,,,,PO BOX 9370,CORPUS CHRISTI,TX,78469,350,23-Aug-88,16-May-11,8-Sep-88,4-Jun-91,480
17,14402424,626000,22-AUG-88 12.00.00.000000 AM,,Process,88,Employees hospitalized after exposure to hydrofluoric acid,"LEAK,HYDROFLUORIC ACID,WORK RULES,INHALATION,EQUIPMENT FAILURE,VALVE,GAS LEAK,PIPE,TOXIC FUMES,GAS FITTING",,,,,,2911,,100307214,process,55,Male,2,16,9,8,7,19,999,2,1,1460,0,0,0,,,5,100307214,,VALERO REFINING COMPANY - TEXAS LP,5900 UP RIVER RD,CORPUS CHRISTI,TX,78401,Private,0,No,H,2911,0,Accident,Partial,,No,,,,,,,,PO BOX 9370,CORPUS CHRISTI,TX,78469,350,23-Aug-88,16-May-11,8-Sep-88,4-Jun-91,480
18,14391510,625700,01-JUN-88 12.00.00.000000 AM,,Personnel,88,EMPLOYEE KILLED WHEN STRUCK BY VACUUM TRUCK,"HEAD,CRUSHED,TRUCK,STRUCK BY,LOST CONTROL",,,,,,"29,111,731",X,100472661,personnel,28,Male,21,13,29,1,18,1,999,1,1,,0,0,0,,,1,100472661,,"BROWN & ROOT, USA",13 MILES SOUTH ON HWY. 23,ALLIANA,LA,70037,Private,0,No,S,2911,0,Unprog Rel,Partial,,No,X,,,,,,,P. O. BOX 395,BELLE CHASE,LA,70037,176,1-Jun-88,,14-Jun-88,20-Jun-88,
19,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,27,Male,7,19,35,1,7,17,999,2,1,,0,0,0,,,14,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
20,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,37,Male,3,19,35,14,7,17,999,3,1,,0,0,0,,,12,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
21,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,49,Male,3,19,35,14,7,17,999,3,1,,0,0,0,,,9,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
22,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,41,Male,3,19,35,14,7,17,999,3,1,,0,0,0,,,19,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
23,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,42,Male,7,19,35,1,7,17,999,2,1,,0,0,0,,,26,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
24,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,44,Male,3,19,35,14,7,17,999,3,1,,0,0,0,,,21,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
25,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,50,Male,21,5,35,12,7,17,999,2,1,,0,0,0,,,11,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
26,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,27,Male,7,20,35,1,7,17,999,2,1,,0,0,0,,,22,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
27,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,32,Male,7,20,35,1,7,17,999,2,1,,0,0,0,,,24,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
28,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,31,Male,7,19,35,1,7,17,999,3,1,,0,0,0,,,15,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
29,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,38,Male,21,19,35,14,7,17,999,1,1,,0,0,0,,,5,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
30,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,35,Male,21,19,35,14,7,17,999,1,1,,0,0,0,,,2,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
31,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,42,Male,7,9,35,1,7,17,999,3,1,,0,0,0,,,25,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
32,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,44,Male,3,19,35,1,7,17,999,3,1,,0,0,0,,,16,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
33,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,39,Male,21,16,35,4,7,17,999,3,1,,0,0,0,,,20,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
34,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,32,Male,21,19,35,4,7,17,999,3,1,,0,0,0,,,10,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
35,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,36,Male,21,19,35,14,7,17,999,1,1,,0,0,0,,,4,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
36,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,38,Male,7,9,35,1,7,17,999,3,1,,0,0,0,,,23,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
37,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,39,Male,6,19,35,4,7,17,999,1,1,,0,0,0,,,6,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
38,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,28,Male,21,19,35,14,7,17,999,1,1,,0,0,0,,,7,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
39,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,57,Male,7,13,35,1,7,17,999,3,1,,0,0,0,,,17,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
40,14391494,625700,05-MAY-88 12.00.00.000000 AM,,Process,88,"Eight employees killed, 18 injured in refinery explosion","FURNACE,WALL,FLAMMABLE VAPORS,CRUSHED,EXPLOSION,CORROSION,PIPELINE,PROCESS SAFETY,PRESSURE RELEASE,REFINERY",,,,,,2911,X,100478866,process,42,Male,11,8,35,1,7,17,999,3,1,,0,0,0,,,18,100478866,,SHELL OIL COMPANY,1205 RIVER RD,NORCO,LA,70079,Private,0,No,S,2911,324110,Accident,Partial,,Yes,,,,,,,,P. O. BOX 10,NORCO,LA,70079,1650,5-May-88,31-Oct-06,20-Sep-88,23-Aug-94,3630
